family,file,machine,arch,dotnet,upx,n_exec,max_entropy,tag
everyday,api-ms-win-core-file-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-file-l1-1-0_75da00bf.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-file-l1-2-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-file-l2-1-0.dll,0x14c,x86,0,0,1,5.06,plain
everyday,api-ms-win-core-file-l2-1-0_a569ce7c.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-file-l2-1-0_c55eb043.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-handle-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-heap-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-interlocked-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-libraryloader-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-localization-l1-2-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-localization-l1-2-0_a46863d7.dll,0x8664,x64,0,0,0,0.00,no_exec
