cv_rank,track,tokenizer,vocab_size,sampling,budget,ngram,embedding,w2v,pooling,n_features,classifier,clf_params,weighting,cv_macro_f1,cv_balanced_accuracy,cv_roc_auc,cv_macro_f1_bal_threshold,cv_macro_f1_f1_threshold,cv_macro_f1_fold_std,threshold,threshold_rule,oof_threshold_bal_rule,oof_threshold_f1_rule,spec
47,tfidf,SW,,head,5000,1-3,tfidf,,,37877,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.916767,0.912628,0.975474,0.921651,0.916941,0.03501,0.5,default,0.23041946,0.2697769,"LogReg(C=1.0,class_weight=balanced)|w=none"
48,tfidf,SW,,head,5000,1-3,tfidf,,,37877,LogReg,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.916218,0.913608,0.968524,0.914972,0.909545,0.026385,0.5,default,0.47295428,0.47295428,"LogReg(C=0.1,class_weight=balanced)|w=none"
49,tfidf,SW,,head,5000,1-3,tfidf,,,37877,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""balanced""}",none,0.916195,0.913503,0.96792,0.912886,0.905433,0.026135,0.0,default,-0.10282462,-0.06566613,"LinearSVC(C=0.01,class_weight=balanced)|w=none"
50,tfidf,SW,,head,20000,1-2,tfidf,,,11867,LogReg,"{""C"": ""10.0"", ""class_weight"": ""None""}",none,0.916113,0.911554,0.987425,0.93394,0.937386,0.03016,0.5,default,0.08103721,0.24561529,"LogReg(C=10.0,class_weight=None)|w=none"
51,tfidf,SW,,strided,20000,1-2,tfidf,,,15832,LogReg,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.91583,0.911939,0.980917,0.931991,0.929612,0.030453,0.5,default,0.29608631,0.39160579,"LogReg(C=1.0,class_weight=None)|w=none"
52,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LogReg,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.915699,0.911418,0.979094,0.946875,0.946875,0.030546,0.5,default,0.4515065,0.4515065,"LogReg(C=0.1,class_weight=None)|w=none"
53,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.914957,0.910031,0.988044,0.947051,0.937867,0.023798,0.0,default,-0.61309688,-0.61309688,"LinearSVC(C=1.0,class_weight=None)|w=none"
54,tfidf,SW,,head,50000,1-2,tfidf,,,15661,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.91479,0.910833,0.984781,0.928728,0.931978,0.024507,0.0,default,-0.24487954,-0.24487954,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
55,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.91449,0.909686,0.988015,0.948041,0.948041,0.02239,0.0,default,-0.59220119,-0.59220119,"LinearSVC(C=1.0,class_weight=balanced)|w=none"
56,tfidf,SW,,head,50000,1-2,tfidf,,,15661,LogReg,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.914424,0.912646,0.971976,0.929692,0.925643,0.028178,0.5,default,0.45797241,0.45797241,"LogReg(C=0.1,class_weight=balanced)|w=none"
